State,FEMIN_AGREE,FEMIN_DISAGREE
National,43,54
Alabama,46,52
Alaska,50,50
Arizona,47,50
Arkansas,48,48
California,38,59
Colorado,47,52
Connecticut,39,58
Delaware,41,52
District of Columbia,22,77
Florida,42,52
Georgia,45,50
Hawaii,40,59
Idaho,48,50
Illinois,37,59
Indiana,45,51
Iowa,47,49
Kansas,49,50
Kentucky,51,46
Louisiana,54,45
Maine,42,57
Maryland,37,62
Massachusetts,31,66
Michigan,48,48
Minnesota,33,61
Mississippi,43,50
Missouri,51,47
Montana,42,54
Nebraska,42,58
Nevada,38,61
New Hampshire,44,52
New Jersey,40,58
New Mexico,43,56
New York,38,59
North Carolina,44,53
North Dakota,54,45
Ohio,46,52
Oklahoma,58,40
Oregon,44,54
Pennsylvania,53,44
Rhode Island,37,63
South Carolina,47,50
South Dakota,52,46
Tennessee,46,48
Texas,45,52
Utah,41,56
Vermont,38,62
Virginia,41,58
Washington,29,67
Wisconsin,40,59
Wyoming,56,43